"","x","y","key","Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"389",281.36,317.32,"sntl_316","Bateman",316,"New Mexico","SNOTEL","Rio Arriba",9300,36.51174,-106.31543,130201020901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.1,71,71,74,76,98,48,50,-1.9,24,32,10,"",8.6,8.6,8.25,8,2,16.3,"2018","1984",42
"390",276.58,307.01,"sntl_394","Chamita",394,"New Mexico","SNOTEL","Rio Arriba",8400,36.95636,-106.65682,130201020204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,70,71,72,72,98,51,54,-2.2,32,29,13,"",8,7.9,7.74,7.8,1.3,14.3,"2018","2008",42
"391",288.3,335.79,"sntl_921","Elk Cabin",921,"New Mexico","SNOTEL","Santa Fe",8210,35.7043,-105.80675,130202010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.6,19,14,24,19,35,17,16,-2.5,33,17,7,"",3.2,4.2,2.52,3.1,0,5,"1999, 2006, 2018","2005, 2010",25
"392",227.97,371.77,"sntl_486","Frisco Divide",486,"New Mexico","SNOTEL","Catron",8000,33.73646,-108.94502,150400040303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.5,16,17,19,21,42,14,16,-1.9,13,36,6,"",3.1,2.9,2.67,2.4,0,7.3,"2000, 2006, 2018, more","1983, 2010",41
"393",293.71,325.58,"sntl_491","Gallegos Peak",491,"New Mexico","SNOTEL","Taos",9800,36.19446,-105.55795,130201010502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,75,76,77,82,98,50,54,-1.2,20,33,9,"",7.5,7.4,7.25,6.8,1.6,12,"2018","1984",41
"394",276.13,327.88,"sntl_1173","Garita Peak",1173,"New Mexico","SNOTEL","Rio Arriba",10160,36.005,-106.54838,130202020201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.7,NA,NA,69,64,97,50,45,-2.1,25,4,2,"2nd Lowest",NA,NA,5.4,5.8,0.6,9.4,"2018","2017",5
"395",282.74,312.97,"sntl_532","Hopewell",532,"New Mexico","SNOTEL","Rio Arriba",10000,36.71631,-106.26348,130201021401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.3,79,77,83,94,99,52,52,-0.7,37,27,15,"",13.1,13.4,12.37,11,2.4,21.8,"2018","2008",42
"396",246.77,382.5,"sntl_595","Lookout Mountain",595,"New Mexico","SNOTEL","Sierra",8500,33.36027,-107.83122,150400010402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,0,0,0,0,0,0,0,-1.9,20,33,1,"Lowest",2.8,2.6,2.13,1.9,0,7.7,"2018, 2019, 2021, more","1983",41
"397",245.12,390.02,"sntl_1048","Mcknight Cabin",1048,"New Mexico","SNOTEL","Grant",9240,33.00812,-107.86975,130302020103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,2,4,3,4,7,2,3,-2.3,12,16,3,"",4.9,2.5,3.08,2.4,0,11.1,"2006, 2018","2010",18
"398",298.1,321.32,"sntl_1170","Palo",1170,"New Mexico","SNOTEL","Taos",9350,36.40848,-105.33063,130201010601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.5,NA,NA,109,105,96,82,80,0.2,60,5,7,"",NA,NA,4.15,4.3,0.3,6.2,"2018","2020",11
"399",278.64,329.97,"sntl_708","Quemazon",708,"New Mexico","SNOTEL","Los Alamos",9500,35.92244,-106.39203,130201011303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,44,42,48,46,89,35,36,-3.7,13,36,5,"",7.3,7.7,6.61,6.9,0,11.3,"2018","1983",41
"400",298.54,314.98,"sntl_715","Red River Pass #2",715,"New Mexico","SNOTEL","Colfax",9850,36.69925,-105.34125,130201010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,83,81,86,84,98,55,56,-0.9,37,27,15,"",5.8,5.9,5.55,5.7,0.5,9.3,"2018","2008",42
"401",244.24,341,"sntl_933","Rice Park",933,"New Mexico","SNOTEL","Cibola",8460,35.23333,-108.26667,130202070203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,41,42,59,55,93,45,44,-2.1,23,18,6,"",6.4,6.2,4.41,4.7,0,9.5,"2018","2010",23
"402",292.2,328.12,"sntl_1254","Rio Santa Barbara",1254,"New Mexico","SNOTEL","Taos",10664,36.07192,-105.62947,130201010905,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.3,NA,NA,86,80,99,56,54,-1.85,29,6,3,"",NA,NA,8.48,9.15,1.6,14.5,"2018","2016",8
"403",283.74,309.87,"sntl_1172","San Antonio Sink",1172,"New Mexico","SNOTEL","Rio Arriba",9100,36.8622,-106.22502,130100050301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.7,NA,NA,88,90,98,62,63,-0.65,33,7,4,"",NA,NA,6.45,6.35,1,12.7,"2018","2017",10
"404",271.19,327.38,"sntl_744","Senorita Divide #2",744,"New Mexico","SNOTEL","Rio Arriba",8600,36.00198,-106.83348,130202020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.6,53,54,57,57,92,39,39,-2.7,22,32,9,"",6.8,6.7,6.3,6.3,0.5,13.3,"2006","1983",41
"405",300.46,313.22,"sntl_1169","Shuree",1169,"New Mexico","SNOTEL","Colfax",10100,36.78778,-105.23999,130201010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,NA,NA,116,126,100,88,91,1.1,60,5,7,"",NA,NA,4.65,4.3,0.6,8.8,"2018","2017",11
"406",283.49,385.72,"sntl_1034","Sierra Blanca",1034,"New Mexico","SNOTEL","Lincoln",10280,33.40472,-105.78722,130600080103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.3,3,3,4,5,25,3,3,-5.5,11,17,3,"",10.6,9.8,7.28,5.8,0,21.1,"2006, 2018","2010",19
"407",239.94,391.2,"sntl_755","Signal Peak",755,"New Mexico","SNOTEL","Grant",8360,32.92401,-108.14538,150400010803,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,2,2,2,3,6,2,2,-3.2,18,34,7,"",5.1,4.2,4.14,3.3,0,12.5,"2017, 2018, 2019, more","1983",41
"408",231.16,380.23,"sntl_757","Silver Creek Divide",757,"New Mexico","SNOTEL","Catron",9000,33.37106,-108.70618,150400040605,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.6,47,52,51,55,86,36,41,-3,20,33,7,"",7.6,6.9,7,6.6,0,19.5,"2000","1985",41
"409",296.31,317.33,"sntl_1168","Taos Powderhorn",1168,"New Mexico","SNOTEL","Taos",11057,36.58203,-105.45611,130201010701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.7,NA,NA,101,106,98,54,58,0.7,60,5,7,"",NA,NA,11.56,11,2,18.6,"2018","2017",11
"410",300.58,320.1,"sntl_934","Tolby",934,"New Mexico","SNOTEL","Colfax",10180,36.47493,-105.19468,110800020107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.1,82,82,90,89,96,65,61,-0.6,36,15,9,"",6.2,6.2,5.67,5.7,0.4,10,"2018","2007",23
"411",294.09,327.08,"sntl_1083","Tres Ritos",1083,"New Mexico","SNOTEL","Taos",8600,36.12778,-105.52714,130201010903,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,NA,NA,0,0,0,0,0,-2.2,29,11,1,"Lowest",NA,NA,2.01,2.2,0,5.4,"2017, 2018, 2021, more","2008",15
"412",271.59,326.89,"sntl_1017","Vacas Locas",1017,"New Mexico","SNOTEL","Rio Arriba",9306,36.02635,-106.81362,130202020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.4,74,68,88,84,98,63,62,-1.25,37,13,7,"",8.7,9.4,7.27,7.65,1.1,11.5,"2006","2017",20
"413",293.06,334.71,"sntl_854","Wesner Springs",854,"New Mexico","SNOTEL","San Miguel",11120,35.77556,-105.5425,130600010802,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.6,45,45,49,49,96,32,31,-4.8,6,30,3,"",10.3,10.3,9.39,9.4,0.5,17,"2018","1993",32
"414",50.15,131.38,"sntl_1000","Annie Springs",1000,"Oregon","SNOTEL","Klamath",6010,42.87007,-122.16518,180102030101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.6,80,84,92,96,100,59,58,-1,45,12,10,"",29.4,28.1,25.54,24.6,8.5,49.4,"2014","2006",21
"415",106.96,94.27,"sntl_304","Arbuckle Mtn",304,"Oregon","SNOTEL","Morrow",5770,45.19085,-119.25392,170702020604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.8,84,89,89,91,100,58,61,-1.1,40,26,18,"",14.1,13.3,13.33,12.9,6.3,26,"2005","1983",43
"416",59.83,101.2,"sntl_1166","Bear Grass",1166,"Oregon","SNOTEL","Linn",4720,44.3253,-122.0938,170900040203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",29,NA,NA,107,101,100,63,58,0.4,56,5,6,"",NA,NA,27.09,28.6,0,47.5,"2015","2017",10
"417",122.13,98.99,"sntl_331","Beaver Reservoir",331,"Oregon","SNOTEL","Union",5150,45.14532,-118.219,170601040301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.8,87,93,89,91,97,59,60,-0.7,38,26,14,"",7.8,7.3,7.65,7.5,1.9,13.5,"1981","1998",41
"418",34.68,145.49,"sntl_341","Big Red Mountain",341,"Oregon","SNOTEL","Jackson",6050,42.05257,-122.85487,171003090301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.4,75,75,82,82,100,49,49,-3.2,35,27,15,"",19.2,19.1,17.46,17.6,2.7,38.8,"2014","1983",41
"419",27.31,142.74,"sntl_343","Bigelow Camp",343,"Oregon","SNOTEL","Josephine",5130,42.07875,-123.34393,171003090105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.3,85,98,95,104,100,56,62,0.35,54,19,22,"",10.9,9.5,9.83,8.95,0,27.3,"1991, 2015","2008",40
"420",45.86,140.65,"sntl_344","Billie Creek Divide",344,"Oregon","SNOTEL","Klamath",5280,42.40717,-122.26617,180102030201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.8,86,89,95,100,100,70,69,0,50,22,22,"",18.4,17.8,16.56,15.8,0.1,30.2,"2015","1989",43
"421",69.82,79.12,"sntl_351","Blazed Alder",351,"Oregon","SNOTEL","Clackamas",3650,45.4287,-121.85605,170800010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.6,68,79,74,82,100,47,50,-3.6,33,27,14,"",24.5,21,22.39,20.2,0,60.8,"2015","2008",40
"422",113.11,116.87,"sntl_357","Blue Mountain Spring",357,"Oregon","SNOTEL","Grant",5870,44.24767,-118.51722,170501160104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.4,79,86,84,88,100,60,59,-1.4,38,27,16,"",13.1,12.1,12.36,11.8,5.7,22.4,"2018","2006",43
"423",121.01,105.75,"sntl_361","Bourne",361,"Oregon","SNOTEL","Baker",5850,44.83052,-118.18787,170502030101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.4,75,76,78,81,100,56,58,-2.2,31,30,14,"",12.6,12.3,12.1,11.6,5.5,19.6,"2005, 2018","1983",43
"424",119.54,93.49,"sntl_362","Bowman Springs",362,"Oregon","SNOTEL","Umatilla",4530,45.36428,-118.46715,170701030401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.8,116,116,116,115,98,84,84,1,71,13,31,"",6.7,6.7,6.74,6.8,0.3,15.3,"2015","1989",43
"425",56.01,116.73,"sntl_388","Cascade Summit",388,"Oregon","SNOTEL","Deschutes",5100,43.59042,-122.0601,170900010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18,77,84,81,86,100,54,55,-2.9,32,28,14,"",23.3,21.4,22.1,20.9,5.8,37.3,"2015","2008",41
"426",57.71,125.44,"sntl_395","Chemult Alternate",395,"Oregon","SNOTEL","Klamath",4850,43.22625,-121.80662,180102010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.6,94,93,100,103,100,80,82,0.2,53,20,22,"",8.1,8.2,7.57,7.4,0,15.8,"2015, 2018","1993",41
"427",69.38,86.48,"sntl_398","Clackamas Lake",398,"Oregon","SNOTEL","Clackamas",3400,45.09658,-121.75443,170900110301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,53,50,59,57,100,41,41,-4.1,30,29,12,"",10.2,10.7,9.2,9.5,0,21,"2015","2008",41
"428",70.84,84.82,"sntl_401","Clear Lake",401,"Oregon","SNOTEL","Wasco",3810,45.18832,-121.6916,170703060901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.4,31,31,36,38,89,25,25,-5.6,15,35,7,"",11,10.9,9.54,9,0,24,"2015, 2018","2008",41
"429",47.98,138.4,"sntl_406","Cold Springs Camp",406,"Oregon","SNOTEL","Klamath",5940,42.53305,-122.17683,180102030202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.5,56,55,63,64,100,45,44,-7.65,23,31,10,"",24,24.5,21.34,21.15,0,39.3,"2015","1989",40
"430",117.43,96.84,"sntl_422","County Line",422,"Oregon","SNOTEL","Umatilla",4830,45.19107,-118.55015,170601040202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.4,56,56,62,63,100,44,43,-1.4,28,30,12,"",4.3,4.3,3.85,3.8,0,8.5,"2015, 2018","1989",41
"431",67.42,141.38,"sntl_1010","Crazyman Flat",1010,"Oregon","SNOTEL","Klamath",6180,42.6381,-120.94917,180102020101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,64,76,81,82,100,55,57,-1.9,26,15,6,"",13.3,11.2,10.47,10.4,0.6,20.6,"2015","2006",20
"432",61.09,97.12,"sntl_434","Daly Lake",434,"Oregon","SNOTEL","Linn",3690,44.52147,-122.08718,170900060101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,19,24,22,37,87,14,16,-4.4,22,32,10,"",13.7,10.9,11.6,7,0,40.8,"2003, 2015, 2018, more","2008",41
"433",92.9,107.38,"sntl_440","Derr.",440,"Oregon","SNOTEL","Wheeler",5850,44.4465,-119.93012,170703040401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,90,94,94,97,100,65,70,-0.3,43,24,18,"",11.3,10.8,10.9,10.5,4.5,21.3,"1992, 2018","1983",41
"434",52.42,124.83,"sntl_442","Diamond Lake",442,"Oregon","SNOTEL","Douglas",5280,43.18787,-122.14003,171003010204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.4,87,82,92,99,98,64,58,-0.15,49,21,19,"",12,12.7,11.3,10.55,0,27.9,"2015","1999",40
"435",122.31,105.2,"sntl_464","Eilertson Meadows",464,"Oregon","SNOTEL","Baker",5510,44.86887,-118.11387,170502030404,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.9,110,103,111,100,99,82,87,0,50,21,21,"",8.1,8.6,8.02,8.9,1.7,13.1,"1981","1982",41
"436",120.73,89.45,"sntl_470","Emigrant Springs",470,"Oregon","SNOTEL","Umatilla",3800,45.55808,-118.45383,170701030501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1,18,19,19,21,67,13,16,-3.7,13,36,6,"",5.7,5.3,5.21,4.7,0,14.9,"1992, 2015, 2018","1989",41
"437",103.48,148.99,"sntl_477","Fish Creek",477,"Oregon","SNOTEL","Harney",7660,42.70992,-118.6321,171200030107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.9,96,105,99,102,100,57,62,0.45,56,19,22,"",19.6,18,19.14,18.45,8.5,31.9,"1991","1997",42
"438",44.42,140.86,"sntl_479","Fish Lk.",479,"Oregon","SNOTEL","Jackson",4660,42.3801,-122.34943,171003070801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,70,71,77,94,99,56,54,-0.45,38,25,15,"",10,9.8,9.14,7.45,0,19.1,"2015","2008",40
"439",46.63,140.14,"sntl_483","Fourmile Lake",483,"Oregon","SNOTEL","Klamath",5970,42.43933,-122.2288,180102030202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.2,59,56,66,67,100,47,45,-6.45,32,29,14,"",22.5,23.5,19.92,19.65,5.2,34.2,"2015","1996",42
"440",62.13,149.71,"sntl_945","Gerber Reservoir",945,"Oregon","SNOTEL","Klamath",4890,42.2062,-121.1334,180102040508,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.6,32,43,47,55,55,25,26,-0.5,45,13,10,"",1.9,1.4,1.29,1.1,0,5.2,"2015, 2018, 2020, more","2008",23
"441",118.82,106.71,"sntl_494","Gold Center",494,"Oregon","SNOTEL","Grant",5410,44.7638,-118.3117,170702020202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,106,115,106,115,98,84,83,1.2,60,17,25,"",8.5,7.8,8.48,7.8,2.7,17,"1981","2006",41
"442",73.17,75.7,"sntl_504","Greenpoint",504,"Oregon","SNOTEL","Hood River",3310,45.62237,-121.70415,170701050603,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.9,45,45,51,50,100,36,36,-6.85,27,31,12,"",15.4,15.4,13.42,13.75,0,32.3,"2015","1985",42
"443",126.56,87.75,"sntl_523","High Ridge",523,"Oregon","SNOTEL","Umatilla",4920,45.69682,-118.10657,170701030103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18,98,102,100,105,100,70,70,0.9,55,20,24,"",18.4,17.7,18.05,17.1,6,33.6,"2005","1982",43
"444",63.93,100.2,"sntl_526","Hogg Pass",526,"Oregon","SNOTEL","Linn",4790,44.42042,-121.85655,170900040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.7,74,96,64,68,100,43,47,-6.85,24,32,9,"",19.8,15.3,22.87,21.55,0,52.1,"2015","1999",42
"445",48.81,112.9,"sntl_529","Holland Meadows",529,"Oregon","SNOTEL","Lane",4930,43.66917,-122.56877,170900020201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.5,55,60,62,71,100,38,39,-3.8,31,28,12,"",17.4,15.8,15.21,13.3,0,37.5,"2015","1989",40
"446",43.1,144.23,"sntl_1158","Howard Prairie",1158,"Oregon","SNOTEL","Jackson",4580,42.215,-122.3713,180102060401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.6,NA,NA,119,100,100,78,62,0,50,5,5,"",NA,NA,3.87,4.6,0,7.5,"2015","2016",9
"447",59.1,99.62,"sntl_552","Jump Off Joe",552,"Oregon","SNOTEL","Linn",3520,44.38605,-122.16683,170900060201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.8,27,30,32,42,85,21,22,-3.9,19,35,9,"",10.2,9.3,8.63,6.7,0,30.4,"2010, 2015, 2018, more","2008",43
"448",33.49,129.89,"sntl_558","King Mountain",558,"Oregon","SNOTEL","Jackson",4340,42.72395,-123.20037,171003020701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,147,350,147,350,93,68,75,4,75,11,31,"",3.8,1.6,3.81,1.6,0,20.2,"2012, 2014, 2015, more","2008",41
"449",111.1,117.23,"sntl_563","Lake Creek R.S.",563,"Oregon","SNOTEL","Grant",5240,44.21007,-118.63752,170501160102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.1,84,79,88,84,100,67,69,-1.5,43,25,19,"",9.6,10.2,9.2,9.6,1.5,15,"1991","1982, 1984",43
"450",59.57,94.63,"sntl_584","Little Meadows",584,"Oregon","SNOTEL","Linn",4020,44.61297,-122.22565,170900060301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.9,101,111,105,112,100,66,66,2.2,65,15,26,"",19.8,18,19,17.7,0,50.9,"2015","2008",41
"451",113.43,94,"sntl_605","Lucky Strike",605,"Oregon","SNOTEL","Umatilla",4970,45.27478,-118.8479,170701030606,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,78,84,81,87,96,58,65,-0.8,31,30,14,"",6.9,6.4,6.65,6.2,0,14.8,"2003, 2015","1989",43
"452",102.91,95.17,"sntl_608","Madison Butte",608,"Oregon","SNOTEL","Morrow",5150,45.10513,-119.49585,170702041101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.5,105,113,107,110,NA,73,80,0.4,57,18,24,"",4.3,4,4.2,4.1,0,10.6,"2005, 2015, 2018, more","1993",41
"453",63.2,96.08,"sntl_614","Marion Forks",614,"Oregon","SNOTEL","Linn",2590,44.59397,-121.97365,170900050205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.2,26,34,29,37,100,18,20,-3.8,28,30,12,"",8.4,6.5,7.58,6,0,27.7,"2003, 2010, 2015, more","2008",41
"454",62.46,104.53,"sntl_619","Mckenzie",619,"Oregon","SNOTEL","Lane",4770,44.2103,-121.87292,170900040207,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.8,75,77,82,90,100,54,61,-2.75,41,24,17,"",31.8,30.8,29.09,26.55,5.2,53.8,"2015","1989",40
"455",130.31,82.29,"sntl_1079","Milk Shakes",1079,"Oregon","SNOTEL","Wallowa",5580,45.9821,-117.94883,170701020201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",27,NA,NA,99,104,100,59,59,0.95,69,5,10,"",NA,NA,27.19,26.05,16.9,40.5,"2015","2008",14
"456",47.88,76.91,"sntl_1084","Miller Woods",1084,"Oregon","SNOTEL","Yamhill",420,45.24755,-123.27563,170900080606,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,NA,NA,188,NA,17,13,20,0.1,93,2,13,"2nd Highest",NA,NA,0.05,0,0,0.6,"2017, 2018, 2020, more","2014",15
"457",130.68,98.18,"sntl_647","Moss Springs",647,"Oregon","SNOTEL","Union",5760,45.27173,-117.68747,170601040702,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.5,82,83,83,85,100,54,54,-2.5,22,32,9,"",17.7,17.4,17.5,17,7.5,28.6,"1981","2020",41
"458",71.26,81.95,"sntl_651","Mt Hood Test Site",651,"Oregon","SNOTEL","Clackamas",5370,45.32097,-121.7158,170800010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",37.4,88,89,95,101,100,60,61,0.2,53,20,22,"",42.5,41.8,39.24,37.2,12.3,69.3,"2005","1985",41
"459",138.31,100.08,"sntl_653","Mt. Howard",653,"Oregon","SNOTEL","Wallowa",7910,45.26522,-117.17373,170601050102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,61,64,63,66,100,33,34,-3.4,7,38,3,"",11,10.4,10.69,10.1,1.5,24.3,"1981","1997",41
"460",70.56,83.27,"sntl_655","Mud Ridge",655,"Oregon","SNOTEL","Clackamas",4070,45.25362,-121.73673,170800010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.2,94,91,101,106,100,69,72,1.1,56,19,24,"",20.4,21,18.98,18.1,1.7,38.2,"2015","2008",42
"461",56.76,118.72,"sntl_660","New Crescent Lake",660,"Oregon","SNOTEL","Klamath",4910,43.51185,-121.97982,170703020205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,80,78,87,89,100,65,60,-1.1,38,26,16,"",10.6,10.9,9.77,9.6,0,20.1,"2015, 2018","1993",41
"462",68.38,75.98,"sntl_666","North Fork",666,"Oregon","SNOTEL","Multnomah",3060,45.5505,-122.00283,170800010503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.1,34,40,38,44,93,22,23,-6.4,21,34,10,"",14.9,12.8,13.5,11.5,0,48.1,"1992, 2003, 2015","2008",43
"463",86.79,106.18,"sntl_671","Ochoco Meadows",671,"Oregon","SNOTEL","Crook",5430,44.42917,-120.3311,170703050201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.5,90,95,94,100,100,67,65,0,50,21,20,"",8.3,7.9,7.99,7.5,0,14,"2015","2006",41
"464",66.43,86.9,"sntl_687","Peavine Ridge",687,"Oregon","SNOTEL","Clackamas",3420,45.04148,-121.93252,170900110306,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.8,50,51,57,64,100,38,38,-3.2,28,29,12,"",11.5,11.3,10.15,9,0,31.9,"2003, 2015","2008",40
"465",67.52,148.61,"sntl_706","Quartz Mountain",706,"Oregon","SNOTEL","Lake",5720,42.31923,-120.82533,180102020404,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.2,11,13,7,10,29,4,5,-1.9,20,33,6,"",1.9,1.5,3,2.1,0,14.2,"2011, 2014, 2015, more","1993",41
"466",54.11,114.65,"sntl_710","Railroad Overpass",710,"Oregon","SNOTEL","Lane",2680,43.65887,-122.21272,170900010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,0,NA,0,NA,0,0,0,0,72,12,1,"Lowest",0.5,0,0.41,0,0,6.3,"2018, 2020, 2021, more","2008",40
"467",72.26,79,"sntl_712","Red Hill",712,"Oregon","SNOTEL","Hood River",4410,45.4643,-121.70428,170701050505,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",29.2,87,82,92,92,100,59,60,-2.4,38,27,17,"",33.7,35.8,31.6,31.6,0,63.4,"2015","2008",43
"468",58.28,110.35,"sntl_719","Roaring River",719,"Oregon","SNOTEL","Lane",4950,43.90098,-122.03063,170900040302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.5,79,85,86,90,100,57,61,-1.9,43,24,18,"",22.1,20.5,20.33,19.4,0,44.9,"2015","2008",41
"469",107.03,120.74,"sntl_721","Rock Springs",721,"Oregon","SNOTEL","Grant",5290,44.00883,-118.83842,170501160204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.6,100,88,102,92,100,71,65,-0.4,43,24,18,"",4.6,5.2,4.49,5,0,8.8,"2003, 2015, 2018, more","2017",41
"470",48.28,70.31,"sntl_726","Saddle Mountain",726,"Oregon","SNOTEL","Washington",3110,45.54477,-123.37315,170900100201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,NA,NA,56,186,87,23,30,1.2,59,18,25,"",NA,NA,4.61,1.4,0,29.1,"2015, 2016, 2018, more","2008",42
"471",55.26,116.03,"sntl_729","Salt Creek Falls",729,"Oregon","SNOTEL","Lane",4220,43.61193,-122.11758,170900010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.3,91,94,97,99,98,63,63,-0.1,48,22,20,"",14.6,14.2,13.66,13.4,0,32.2,"2015","2008",41
"472",62.7,99.53,"sntl_733","Santiam Jct.",733,"Oregon","SNOTEL","Linn",3740,44.43503,-121.94502,170900040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,71,73,80,86,100,59,57,-1.6,43,25,19,"",14.4,13.9,12.7,11.8,0,34.8,"2003, 2015","2008",43
