"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Loomis Park",597,"Wyoming","SNOTEL","Sublette",8240,43.17387,-110.14007,140401010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.9,81,86,79,84,100,52,58,-1.7,28,30,12,"",11,10.4,11.25,10.6,5.7,23.7,"2010","1997",41
"Lost Creek Resv",1118,"Utah","SNOTEL","Morgan",6082,41.22155,-111.35947,160201010603,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.1,NA,NA,61,48,100,47,45,-3.4,40,7,5,"",NA,NA,5.12,6.5,0,11.3,"2015","2017",11
"Lost Dog",940,"Colorado","SNOTEL","Routt",9320,40.81588,-106.74835,140500010203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.5,76,76,82,90,100,53,55,-1.5,23,18,6,"",17.8,17.8,16.46,15,10.2,25.3,"2012","2017",23
"Lost Horse",599,"Washington","SNOTEL","Yakima",5120,46.3575,-121.08095,170300030302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13,88,87,97,90,100,69,68,-1.5,40,19,13,"",14.8,14.9,13.35,14.5,1.5,26.6,"2015","1999",31
"Lost Lake",600,"Idaho","SNOTEL","Shoshone",6110,47.0809,-115.9604,170603080101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",33.9,86,84,90,97,100,60,61,-1.2,42,23,17,"",39.3,40.2,37.67,35.1,20,70.7,"2001","1997",39
"Lost-Wood Divide",601,"Idaho","SNOTEL","Blaine",7900,43.82432,-114.26402,170402190304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.3,74,76,76,84,100,49,54,-2,29,28,12,"",13.9,13.6,13.59,12.3,5,37,"1991","1997",39
"Louis Meadow",972,"Utah","SNOTEL","Salt Lake",6700,40.83033,-111.76457,160202040304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.1,65,73,73,76,100,52,53,-3.2,14,19,4,"",15.5,13.9,13.84,13.3,7.7,20.1,"2003, 2018","2006",22
"Loveland Basin",602,"Colorado","SNOTEL","Clear Creek",11400,39.67433,-105.90133,101900040102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,79,83,78,83,100,42,41,-2,21,23,7,"",12.6,12,12.87,12,6.5,20.5,"2002","1996",29
"Lower Twin",603,"Montana","SNOTEL","Madison",7900,45.50871,-111.92288,100200071101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.4,80,81,80,81,100,45,47,-2.2,22,32,9,"",11.7,11.6,11.77,11.6,7,20.8,"1994","1997",41
"Lubrecht Flume",604,"Montana","SNOTEL","Missoula",4680,46.88293,-113.32228,170102031204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.7,109,112,101,104,94,78,83,0.2,60,21,29,"",4.3,4.2,4.66,4.5,1,8.9,"1981","1972",51
"Lucky Strike",605,"Oregon","SNOTEL","Umatilla",4970,45.27478,-118.8479,170701030606,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,78,84,81,87,96,58,65,-0.8,31,30,14,"",6.9,6.4,6.65,6.2,0,14.8,"2003, 2015","1989",43
"Lyman Lake",606,"Washington","SNOTEL","Chelan",5980,48.19798,-120.91678,170200090203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",41.7,95,96,97,99,100,65,64,-0.5,47,21,19,"",44.1,43.4,42.86,42.2,23.5,72.2,"2005","1991",39
"Lynn Lake",1069,"Washington","SNOTEL","King",3900,47.20172,-121.77972,171100130203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.5,NA,NA,91,95,98,45,46,-0.75,46,8,7,"",NA,NA,14.84,14.25,0,41.9,"2015","2008",14
"Lynx Pass",607,"Colorado","SNOTEL","Routt",8880,40.07806,-106.67028,140100011001,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.8,87,92,86,91,100,55,57,-0.7,36,26,14,"",7.8,7.4,7.89,7.5,2.6,11.5,"1981","2011",40
"MF Nooksack",1011,"Washington","SNOTEL","Whatcom",4970,48.82453,-121.92951,171100040303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",43.6,114,110,121,115,100,65,60,5.7,67,7,13,"",38.2,39.6,36.11,37.9,10.7,47.4,"2005","2007",19
"Madison Butte",608,"Oregon","SNOTEL","Morrow",5150,45.10513,-119.49585,170702041101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.5,105,113,107,110,NA,73,80,0.4,57,18,24,"",4.3,4,4.2,4.1,0,10.6,"2005, 2015, 2018, more","1993",41
"Madison Plateau",609,"Montana","SNOTEL","Gallatin",7750,44.58623,-111.11627,100200070204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.5,81,88,80,86,100,51,52,-2.25,23,42,13,"",16.6,15.4,16.91,15.75,6.7,32.7,"1977","1997",54
"Magic Mountain",610,"Idaho","SNOTEL","Twin Falls",6880,42.18072,-114.28662,170402120601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,64,65,65,66,100,46,45,-4.7,13,36,5,"",14.2,13.9,13.95,13.8,7.3,24.9,"1987","1997",41
"Mammoth-Cottonwood",612,"Utah","SNOTEL","Sanpete",8709,39.68338,-111.31818,160300040203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.9,52,53,52,54,96,33,36,-5.9,10,38,4,"",13.3,12.9,13.25,12.8,3.2,27.9,"1987","1997",42
"Mancos",905,"Colorado","SNOTEL","Montezuma",10000,37.43087,-108.16954,140801070102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.1,42,46,45,47,98,30,31,-5.8,4,26,2,"2nd Lowest",12,11.1,11.4,10.9,4,21.6,"2018","2008",27
"Many Glacier",613,"Montana","SNOTEL","Glacier",4900,48.79698,-113.6705,90400010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.8,83,86,84,89,100,58,61,-1.1,36,29,17,"",10.6,10.2,10.51,9.9,2.6,19.5,"2005","1978",45
"Marion Forks",614,"Oregon","SNOTEL","Linn",2590,44.59397,-121.97365,170900050205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.2,26,34,29,37,100,18,20,-3.8,28,30,12,"",8.4,6.5,7.58,6,0,27.7,"2003, 2010, 2015, more","2008",41
"Marlette Lake",615,"Nevada","SNOTEL","Carson City",7884,39.16395,-119.89672,160501010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.2,75,76,78,84,100,47,53,-2.3,38,27,16,"",16.3,16.1,15.71,14.5,4.5,33.1,"1991","2017",43
"Marquette",616,"Wyoming","SNOTEL","Park",8760,44.3016,-109.24019,100800130303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,NA,NA,52,52,100,22,24,-2.4,13,34,6,"",NA,NA,5.03,5,1.4,9.9,"2006","1997",39
"Marten Ridge",999,"Washington","SNOTEL","Whatcom",3520,48.76292,-121.69823,171100051004,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",49.2,NA,NA,124,122,100,76,73,8.9,79,4,12,"",NA,NA,39.74,40.3,2.7,63.5,"2015","2007",15
"Maverick Fork",617,"Arizona","SNOTEL","Apache",9200,33.92121,-109.45881,150601010104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.2,14,15,16,17,71,12,13,-5.9,7,38,4,"",8.3,7.8,7.58,7.1,0,19.2,"2000, 2006","1993",41
"May Creek",1096,"Alaska","SNOTEL","Valdez-Cordova",1610,61.34783,-142.70967,190201031603,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,125,128,137,141,100,106,102,1.6,100,1,13,"Highest",4.4,4.3,4.01,3.9,3.1,5.5,"2017","2021",13
"Mc Clure Pass",618,"Colorado","SNOTEL","Pitkin",9500,39.12897,-107.28806,140200040203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,71,77,73,77,100,46,50,-2.6,22,32,9,"",11.9,11,11.57,11.1,4.6,21,"2018","1997",41
"McGrath",785,"Alaska","SNOTEL","Yukon-Koyukuk",340,62.94652,-155.6102,190304050502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.1,NA,NA,65,65,98,33,33,-3.25,0,2,1,"Lowest",NA,NA,9.35,9.35,6.1,12.6,"2021","2020",2
"Mccoy Park",1040,"Colorado","SNOTEL","Eagle",9480,39.60468,-106.54128,140100030302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.7,58,54,62,59,100,38,39,-3.9,6,18,2,"2nd Lowest",9.9,10.6,9.17,9.6,5.2,12.1,"2018","2009",19
"Mckenzie",619,"Oregon","SNOTEL","Lane",4770,44.2103,-121.87292,170900040207,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.8,75,77,82,90,100,54,61,-2.75,41,24,17,"",31.8,30.8,29.09,26.55,5.2,53.8,"2015","1989",40
"Mcknight Cabin",1048,"New Mexico","SNOTEL","Grant",9240,33.00812,-107.86975,130302020103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,2,4,3,4,7,2,3,-2.3,12,16,3,"",4.9,2.5,3.08,2.4,0,11.1,"2006, 2018","2010",18
"Mcneil Canyon",1003,"Alaska","SNOTEL","Kenai Peninsula",1320,59.74433,-151.25133,190203010806,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.2,151,163,159,172,100,106,116,5.1,90,4,29,"",8.1,7.5,7.69,7.1,1.6,13.7,"2014","2002",32
"Meadow Lake",620,"Idaho","SNOTEL","Lemhi",9150,44.43655,-113.31815,170602040101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.5,70,75,70,74,100,40,44,-2.7,17,31,6,"",10.7,10,10.66,10.2,6.4,20.9,"1994","1997",37
"Meadows Pass",897,"Washington","SNOTEL","King",3230,47.28312,-121.47197,171100120101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",19.8,18.2,19.07,18.2,0.9,49.8,"2015","2008",27
"Med Bow",1196,"Wyoming","SNOTEL","Carbon",10500,41.37833,-106.34681,101800040302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",25.9,NA,NA,104,105,100,65,63,1.2,63,4,6,"",NA,NA,24.91,24.7,15.5,32,"2013","2020",9
"Medano Pass",914,"Colorado","SNOTEL","Saguache",9649,37.85164,-105.43614,130100030604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4,75,93,82,88,91,58,54,-0.55,36,17,10,"",5.3,4.3,4.9,4.55,0.8,9.6,"2018","2008",26
"Merchant Valley",621,"Utah","SNOTEL","Beaver",8705,38.30285,-112.43637,160300070201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.2,47,47,49,50,100,29,31,-4.2,10,37,3,"",8.9,8.9,8.62,8.4,2.5,17.1,"2018","1997",41
"Merritt Mountain",1207,"Nevada","SNOTEL","Elko",6915,41.8927,-115.858,170501020601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,16.25,16.25,1.1,31.4,"2018","2017",2
"Mesa Lakes",622,"Colorado","SNOTEL","Mesa",10000,39.05831,-108.05835,140100051307,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.6,59,62,62,64,100,34,35,-3.7,15,30,6,"",11.2,10.7,10.69,10.3,3.4,19.8,"2018","2005",35
"Mica Creek",623,"Idaho","SNOTEL","Shoshone",4510,47.15045,-116.26643,170103040604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.8,84,89,88,94,98,64,69,-1.05,34,20,11,"",18.9,17.8,17.86,16.85,7.9,36.7,"2005","1997",30
"Michigan Creek",937,"Colorado","SNOTEL","Park",10600,39.43577,-105.91078,101900010404,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.5,93,103,96,100,100,51,49,0,50,12,12,"",7,6.3,6.8,6.5,3.6,11.2,"2013","2006",23
"Middle Creek",624,"Colorado","SNOTEL","Mineral",11250,37.61978,-107.03482,130100010501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.4,105,105,107,105,100,65,70,0.6,60,17,24,"",12.8,12.8,12.5,12.8,3.2,21.3,"2000","2005",41
"Middle Fork Camp",1014,"Colorado","SNOTEL","Grand",8940,39.7956,-106.0273,140100010402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.3,86,86,83,86,100,53,55,-1.05,37,13,7,"",7.3,7.3,7.57,7.35,4.2,10.5,"2010","2006",20
"Middle Powder",625,"Wyoming","SNOTEL","Washakie",7760,43.62728,-107.18138,100800080205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,74,78,76,81,95,39,41,-1.3,17,36,8,"",7.3,6.9,7.08,6.7,4.2,13.4,"2002","1995",43
"Midway Valley",626,"Utah","SNOTEL","Iron",9827,37.56933,-112.83849,160300010101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",16.3,14,15.89,14.25,5,52,"1996","2005",40
"Milk Shakes",1079,"Oregon","SNOTEL","Wallowa",5580,45.9821,-117.94883,170701020201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",27,NA,NA,99,104,100,59,59,0.95,69,5,10,"",NA,NA,27.19,26.05,16.9,40.5,"2015","2008",14
"Mill Creek Summit",627,"Idaho","SNOTEL","Custer",8800,44.47212,-114.48992,170602010501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.4,68,74,67,70,100,42,44,-4.1,9,33,4,"",13.8,12.7,14.03,13.5,6.6,28.6,"1994","1997",36
"Mill-D North",628,"Utah","SNOTEL","Salt Lake",8963,40.65883,-111.63683,160202040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.1,66,63,68,67,100,41,41,-5.5,19,27,7,"",16.8,17.6,16.32,16.6,8.5,30,"2018","1997",33
"Miller Woods",1084,"Oregon","SNOTEL","Yamhill",420,45.24755,-123.27563,170900080606,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,NA,NA,188,NA,17,13,20,0.1,93,2,13,"2nd Highest",NA,NA,0.05,0,0,0.6,"2017, 2018, 2020, more","2014",15
"Mineral Creek",629,"Colorado","SNOTEL","San Juan",10040,37.84747,-107.72657,140801040103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,90,95,88,91,100,55,57,-0.9,36,28,16,"",10,9.5,10.21,9.9,3.4,20.1,"1990","1979",43
"Mining Fork",631,"Utah","SNOTEL","Tooele",8295,40.49384,-112.61141,160203040503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,56,54,55,54,100,33,34,-5.8,9,30,4,"",12,12.4,12.1,12.5,5.4,23.2,"1992, 2018","1997",33
"Molas Lake",632,"Colorado","SNOTEL","San Juan",10500,37.74932,-107.68866,140801040302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.6,71,74,74,81,100,45,44,-2.3,26,26,8,"",13.5,12.9,13.03,11.9,4.8,22.6,"1990","1997",35
"Monahan Flat",1094,"Alaska","SNOTEL","Matanuska-Susitna",2710,63.30533,-147.64633,190205010304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,NA,NA,92,100,100,62,62,0,50,2,2,"",NA,NA,5.87,5.4,4.1,8.1,"2019","2020",3
"Monitor Pass",633,"California","SNOTEL","Alpine",8306,38.6683,-119.6087,160502010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.3,85,81,87,85,100,55,60,-1.7,40,19,13,"",11,11.5,10.75,11,3.3,24.2,"1991","2017",31
"Monte Cristo",634,"Utah","SNOTEL","Cache",8932,41.46547,-111.49688,160102030201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12,65,67,66,69,100,39,39,-5.5,12,38,6,"",18.5,17.8,18.21,17.5,7.9,34.9,"1981","1997",43
"Monument Creek",949,"Alaska","SNOTEL","Fairbanks North Star",1850,65.07833,-145.87067,190803060402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.4,87,100,85,89,100,59,58,-0.4,43,24,18,"",3.9,3.4,4,3.8,1.8,8.9,"2010","1993",41
"Monument Peak",635,"Montana","SNOTEL","Park",8850,45.21759,-110.237,100700020902,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.8,111,122,108,112,100,66,70,1.7,70,13,29,"",14.2,13,14.63,14.1,9.6,26.5,"2001","1997",41
"Moon Pass",1124,"Colorado","SNOTEL","Saguache",11140,37.96661,-106.55837,130100040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,NA,NA,123,122,100,78,80,1,83,3,11,"",NA,NA,4.47,4.5,1.5,6.4,"2018","2016",13
"Moonshine",636,"Idaho","SNOTEL","Lemhi",7440,44.4147,-113.39812,170402170201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.1,100,108,99,105,100,67,71,0.35,59,17,24,"",7.1,6.6,7.18,6.75,4.1,13.9,"2001","1997",40
"Moose Creek",638,"Idaho","SNOTEL","Lemhi",6200,45.67008,-113.95315,170602030601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.9,103,108,103,105,100,74,79,0.6,62,15,22,"",12.5,12,12.54,12.3,7.3,22.9,"2001","1997",38
"Moraine",1035,"Alaska","SNOTEL","Anchorage",2100,61.37727,-148.99917,190204010103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.5,107,108,134,141,96,88,86,1.9,78,5,15,"",6.1,6,4.86,4.6,0.6,10.9,"2015","2012",19
"Mores Creek Summit",637,"Idaho","SNOTEL","Boise",6100,43.932,-115.66588,170501110503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20,92,91,94,98,100,64,63,-0.5,47,21,18,"",21.7,21.9,21.39,20.5,10.5,37.6,"2013","1997",39
"Morgan Creek",639,"Idaho","SNOTEL","Lemhi",7600,44.84237,-114.26871,170602030901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.9,74,80,75,79,100,51,54,-1.55,28,29,11,"",8,7.4,7.83,7.45,4.9,16,"1994, 2003","1997",40
"Mormon Mountain",640,"Arizona","SNOTEL","Coconino",7500,34.94109,-111.51849,150200150201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4,70,91,80,100,73,53,61,0,50,21,21,"",5.7,4.4,5,4,0,16.9,"2006, 2015, 2018, more","2010",41
"Mormon Mtn Summit",1125,"Arizona","SNOTEL","Coconino",8500,34.96964,-111.50922,150200150202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,NA,NA,63,74,92,45,56,-1.7,33,9,5,"",NA,NA,7.64,6.5,1.3,19.6,"2018","2010",13
"Morse Lake",642,"Washington","SNOTEL","Yakima",5410,46.90585,-121.4827,170300020106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",39.1,38.7,37.42,38.5,11.8,63.8,"2005","1999",39
"Mosby Mtn.",643,"Utah","SNOTEL","Uintah",9553,40.60798,-109.8881,140600100702,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.5,58,68,58,66,100,31,36,-2.3,12,38,6,"",7.8,6.6,7.82,6.8,2.9,20,"2015","2005",43
"Moscow Mountain",989,"Idaho","SNOTEL","Latah",4700,46.805,-116.8535,170603061002,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.1,90,94,99,101,99,74,75,0.1,55,10,12,"",16.7,16.1,15.2,15,5.8,27.4,"2005","2002",21
"Moses Mtn",644,"Washington","SNOTEL","Okanogan",5010,48.36163,-119.08159,170200061903,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,135,133,135,133,100,90,87,3.6,90,4,27,"",10.8,11,10.79,11,4.3,25,"2005","1999",30
"Mosquito Ridge",645,"Idaho","SNOTEL","Shoshone",5260,48.05726,-116.23055,170103010101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.7,82,80,84,88,99,57,61,-2.95,31,28,13,"",25.2,26,24.6,23.65,13.2,39.4,"2001","1997",40
"Moss Peak",646,"Montana","SNOTEL","Lake",6780,47.68493,-113.9623,170102080404,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",24.9,98,104,95,104,100,57,57,0.85,60,15,22,"",25.4,24,26.08,24.05,16.5,47,"2001","1997",36
"Moss Springs",647,"Oregon","SNOTEL","Union",5760,45.27173,-117.68747,170601040702,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.5,82,83,83,85,100,54,54,-2.5,22,32,9,"",17.7,17.4,17.5,17,7.5,28.6,"1981","2020",41
"Mount Crag",648,"Washington","SNOTEL","Jefferson",3960,47.7637,-123.026,171100180601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",20.9,20.3,20.3,22,0,50.5,"2015","1999",31
"Mount Gardner",898,"Washington","SNOTEL","King",2920,47.35768,-121.56812,171100120103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,43,41,49,50,90,31,32,-5.5,22,22,7,"",12.7,13.5,11.33,11,0,29.8,"2005, 2015","2008",28
"Mount Lockhart",649,"Montana","SNOTEL","Teton",6400,47.91727,-112.8238,100302050102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.9,100,109,95,100,100,62,66,0,52,26,26,"",13.9,12.8,14.62,13.9,7,25.3,"1977","1972",53
"Mountain Meadows",650,"Idaho","SNOTEL","Idaho",6320,45.69694,-115.22972,170603020301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,99,99,97,100,100,60,63,0,50,21,20,"",14.7,14.8,15,14.6,8.5,22.8,"1981","1997",41
"Mowich",941,"Washington","SNOTEL","Pierce",3160,46.92833,-121.95232,171100140105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1,48,NA,62,NA,100,23,27,1,64,9,15,"",2.1,0,1.61,0,0,8.5,"2016, 2017, 2018, more","2008",23
"Mt Baldy",1224,"Utah","SNOTEL","Sanpete",9524,39.13648,-111.50527,160300040402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.1,NA,NA,65,69,100,42,45,-4.6,13,8,2,"2nd Lowest",NA,NA,15.6,14.7,7.5,24.8,"2018","2017",9
"Mt Hood Test Site",651,"Oregon","SNOTEL","Clackamas",5370,45.32097,-121.7158,170800010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",37.4,88,89,95,101,100,60,61,0.2,53,20,22,"",42.5,41.8,39.24,37.2,12.3,69.3,"2005","1985",41
"Mt Pennell",1269,"Utah","SNOTEL","Garfield",9209,37.97793,-110.7933,140700010502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.8,NA,NA,54,44,97,35,35,-3.6,20,5,2,"2nd Lowest",NA,NA,5.23,6.4,1.5,7.6,"2018","2020",6
"Mt Rose Ski Area",652,"Nevada","SNOTEL","Washoe",8801,39.31573,-119.89473,160501020304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.2,69,70,71,72,100,44,51,-7.4,35,27,15,"",27.8,27.4,26.92,26.6,4.7,63.7,"1991","2017",41
"Mt. Alyeska",1103,"Alaska","SNOTEL","Anchorage",1540,60.95983,-149.08617,190203020702,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",29,119,124,125,126,98,78,81,6,81,9,35,"",24.4,23.4,23.12,23,7.1,46.1,"2014","1980",43
"Mt. Eyak",1073,"Alaska","SNOTEL","Valdez-Cordova",1405,60.55,-145.745,190202010200,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",21.7,106,113,132,122,97,78,80,3.9,73,5,12,"",20.5,19.2,16.39,17.8,4.2,34.5,"2014","2012",16
"Mt. Howard",653,"Oregon","SNOTEL","Wallowa",7910,45.26522,-117.17373,170601050102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,61,64,63,66,100,33,34,-3.4,7,38,3,"",11,10.4,10.69,10.1,1.5,24.3,"1981","1997",41
"Mt. Ryan",948,"Alaska","SNOTEL","Fairbanks North Star",2800,65.25113,-146.15133,190803060404,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.3,100,113,99,100,100,65,66,0,53,19,20,"",4.3,3.8,4.36,4.3,1.6,8.8,"1996","1993",39
"Mt. Tebo",1126,"Washington","SNOTEL","Mason",3384,47.46061,-123.41219,171100170101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.3,NA,NA,100,100,99,NA,NA,0,NA,1,1,"",NA,NA,20.3,20.3,20.3,20.3,"2021","2021",1
"Muckamuck",1259,"Washington","SNOTEL","Okanogan",4470,48.58526,-119.86624,170200062001,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,NA,NA,146,161,97,113,123,3.8,100,1,7,"Highest",NA,NA,6.87,6.2,4.9,10,"2020","2021",7
"Mud Flat",654,"Idaho","SNOTEL","Owyhee",5730,42.6004,-116.55925,170501041401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,53,54,59,58,100,46,44,-2.3,18,33,7,"",6,5.9,5.42,5.5,0,9.2,"2015","1986",40
"Mud Ridge",655,"Oregon","SNOTEL","Clackamas",4070,45.25362,-121.73673,170800010302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.2,94,91,101,106,100,69,72,1.1,56,19,24,"",20.4,21,18.98,18.1,1.7,38.2,"2015","2008",42
"Mule Creek",656,"Montana","SNOTEL","Beaverhead",8300,45.40957,-112.95927,100200041303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.5,102,109,100,105,98,59,62,0.5,57,18,24,"",10.3,9.6,10.55,10,6,17.6,"2005","1997",41
"Munson Ridge",950,"Alaska","SNOTEL","Fairbanks North Star",3100,64.85033,-146.20945,190803060602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.3,105,121,101,111,100,69,70,0.6,63,16,25,"",6,5.2,6.21,5.7,2.3,14.1,"1996","1991",41
"Myrtle Creek",1053,"Idaho","SNOTEL","Boundary",3520,48.72263,-116.46312,170101040701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.1,89,93,96,93,84,68,72,-0.3,35,12,7,"",4.6,4.4,4.28,4.4,0.3,7.9,"2005","2008",18
"N Fk Elk Creek",657,"Montana","SNOTEL","Powell",6250,46.8716,-113.27725,170102031204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.6,97,101,89,93,100,57,60,-0.6,47,29,24,"",7.8,7.5,8.51,8.2,4.4,17.1,"1977","1972",54
"Nast Lake",658,"Colorado","SNOTEL","Pitkin",8700,39.29722,-106.60694,140100040504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.1,109,117,104,109,100,67,70,0.5,69,12,24,"",5.6,5.2,5.88,5.6,2.3,11.8,"2010","1997",36
